Mean,Std,Training Prevalence Difference,Positive-associated,Mitigation,Metric,Subgroup,Task
0.689063935,0.016727086,50,B,No Mitigation,AUROC,B,COVID
0.684015152,0.021494109,80,B,No Mitigation,AUROC,B,COVID
0.739522498,0.020955351,100,B,No Mitigation,AUROC,W,COVID
0.736316001,0.021110816,0,B,No Mitigation,AUROC,W,COVID
0.749845041,0.0209676,50,B,No Mitigation,AUROC,W,COVID
0.745789715,0.020373299,80,B,No Mitigation,AUROC,W,COVID
0.363399621,0.081657712,100,B,Calibrated Equalized Odds,Prevalence,B,COVID
0.48113952,0.076251311,0,B,Calibrated Equalized Odds,Prevalence,B,COVID
0.483270202,0.096891429,50,B,Calibrated Equalized Odds,Prevalence,B,COVID
0.429371843,0.081625785,80,B,Calibrated Equalized Odds,Prevalence,B,COVID
0.275909091,0.018506091,100,B,Calibrated Equalized Odds,Prevalence,W,COVID
0.371136364,0.03327661,0,B,Calibrated Equalized Odds,Prevalence,W,COVID
0.326742424,0.029473535,50,B,Calibrated Equalized Odds,Prevalence,W,COVID
0.300606061,0.023531895,80,B,Calibrated Equalized Odds,Prevalence,W,COVID
0.578768365,0.027334318,100,B,Calibrated Equalized Odds,AUROC,B,COVID
0.652809917,0.020765916,0,B,Calibrated Equalized Odds,AUROC,B,COVID
0.610926882,0.029229418,50,B,Calibrated Equalized Odds,AUROC,B,COVID
0.591668675,0.024129514,80,B,Calibrated Equalized Odds,AUROC,B,COVID
0.739522498,0.020955351,100,B,Calibrated Equalized Odds,AUROC,W,COVID
0.736144972,0.020793656,0,B,Calibrated Equalized Odds,AUROC,W,COVID
0.749845041,0.0209676,50,B,Calibrated Equalized Odds,AUROC,W,COVID
0.745789715,0.020373299,80,B,Calibrated Equalized Odds,AUROC,W,COVID
0.568106061,0.044616512,100,B,Reject Option Classification,Prevalence,B,COVID
0.525606061,0.038056402,0,B,Reject Option Classification,Prevalence,B,COVID
0.570151515,0.059562512,50,B,Reject Option Classification,Prevalence,B,COVID
0.581666667,0.049097495,80,B,Reject Option Classification,Prevalence,B,COVID
0.488484848,0.028821294,100,B,Reject Option Classification,Prevalence,W,COVID
0.438712121,0.038086865,0,B,Reject Option Classification,Prevalence,W,COVID
0.47719697,0.034877465,50,B,Reject Option Classification,Prevalence,W,COVID
0.481287879,0.031721459,80,B,Reject Option Classification,Prevalence,W,COVID
,,100,B,Reweighing,Prevalence,B,COVID
0.623027146,0.04365205,0,B,Reweighing,Prevalence,B,COVID
0.664930556,0.036253813,50,B,Reweighing,Prevalence,B,COVID
0.735006313,0.032484788,80,B,Reweighing,Prevalence,B,COVID
,,100,B,Reweighing,Prevalence,W,COVID
0.373895202,0.033423604,0,B,Reweighing,Prevalence,W,COVID
0.357402146,0.033323826,50,B,Reweighing,Prevalence,W,COVID
0.340830177,0.033826309,80,B,Reweighing,Prevalence,W,COVID
,,100,B,Reweighing,AUROC,B,COVID
0.685955005,0.016383354,0,B,Reweighing,AUROC,B,COVID
0.680119376,0.019134666,50,B,Reweighing,AUROC,B,COVID
0.674234389,0.025728206,80,B,Reweighing,AUROC,B,COVID
,,100,B,Reweighing,AUROC,W,COVID
0.739503558,0.0215337,0,B,Reweighing,AUROC,W,COVID
0.733725321,0.024300096,50,B,Reweighing,AUROC,W,COVID
0.733288567,0.021866287,80,B,Reweighing,AUROC,W,COVID
